"","Numeracy","ProblemCorr","Difficulty_forgraphs","PConTypeLabeled","catpolitical","id"
"1",6,1,"Easy","Conservative Confirming Items","Liberals",1
"2",6,1,"Easy","Liberal Confirming Items","Liberals",1
"3",6,1,"Easy","Conservative Confirming Items","Liberals",1
"4",6,1,"Easy","Liberal Confirming Items","Liberals",1
"5",6,1,"Easy","Apolitical Items","Liberals",1
"6",6,1,"Easy","Apolitical Items","Liberals",1
"7",2,1,"Easy","Conservative Confirming Items","Moderates",2
"8",2,1,"Easy","Liberal Confirming Items","Moderates",2
"9",2,1,"Easy","Conservative Confirming Items","Moderates",2
"10",2,0,"Easy","Liberal Confirming Items","Moderates",2
"11",2,0,"Easy","Apolitical Items","Moderates",2
"12",2,1,"Easy","Apolitical Items","Moderates",2
"13",8,1,"Easy","Conservative Confirming Items","Conservatives",3
"14",8,1,"Easy","Liberal Confirming Items","Conservatives",3
"15",8,1,"Easy","Conservative Confirming Items","Conservatives",3
"16",8,1,"Easy","Liberal Confirming Items","Conservatives",3
"17",8,1,"Easy","Apolitical Items","Conservatives",3
"18",8,1,"Easy","Apolitical Items","Conservatives",3
"19",8,1,"Easy","Conservative Confirming Items","Moderates",4
"20",8,1,"Easy","Liberal Confirming Items","Moderates",4
"21",8,1,"Easy","Conservative Confirming Items","Moderates",4
"22",8,1,"Easy","Liberal Confirming Items","Moderates",4
"23",8,1,"Easy","Apolitical Items","Moderates",4
"24",8,1,"Easy","Apolitical Items","Moderates",4
"25",8,1,"Easy","Conservative Confirming Items","Liberals",5
"26",8,1,"Easy","Liberal Confirming Items","Liberals",5
"27",8,1,"Easy","Conservative Confirming Items","Liberals",5
"28",8,1,"Easy","Liberal Confirming Items","Liberals",5
"29",8,1,"Easy","Apolitical Items","Liberals",5
"30",8,1,"Easy","Apolitical Items","Liberals",5
"31",5,1,"Easy","Conservative Confirming Items","Liberals",6
"32",5,1,"Easy","Liberal Confirming Items","Liberals",6
"33",5,0,"Easy","Conservative Confirming Items","Liberals",6
"34",5,1,"Easy","Liberal Confirming Items","Liberals",6
"35",5,1,"Easy","Apolitical Items","Liberals",6
"36",5,1,"Easy","Apolitical Items","Liberals",6
"37",7,1,"Easy","Conservative Confirming Items","Liberals",7
"38",7,1,"Easy","Liberal Confirming Items","Liberals",7
"39",7,1,"Easy","Conservative Confirming Items","Liberals",7
"40",7,1,"Easy","Liberal Confirming Items","Liberals",7
"41",7,1,"Easy","Apolitical Items","Liberals",7
"42",7,1,"Easy","Apolitical Items","Liberals",7
"43",5,1,"Easy","Conservative Confirming Items","Conservatives",8
"44",5,0,"Easy","Liberal Confirming Items","Conservatives",8
"45",5,0,"Easy","Conservative Confirming Items","Conservatives",8
"46",5,0,"Easy","Liberal Confirming Items","Conservatives",8
"47",5,1,"Easy","Apolitical Items","Conservatives",8
"48",5,1,"Easy","Apolitical Items","Conservatives",8
"49",0,1,"Easy","Conservative Confirming Items","Moderates",9
"50",0,1,"Easy","Liberal Confirming Items","Moderates",9
"51",0,1,"Easy","Conservative Confirming Items","Moderates",9
"52",0,1,"Easy","Liberal Confirming Items","Moderates",9
"53",0,1,"Easy","Apolitical Items","Moderates",9
"54",0,1,"Easy","Apolitical Items","Moderates",9
"55",3,1,"Easy","Conservative Confirming Items","Moderates",10
"56",3,1,"Easy","Liberal Confirming Items","Moderates",10
"57",3,1,"Easy","Conservative Confirming Items","Moderates",10
"58",3,0,"Easy","Liberal Confirming Items","Moderates",10
"59",3,1,"Easy","Apolitical Items","Moderates",10
"60",3,1,"Easy","Apolitical Items","Moderates",10
"61",4,0,"Easy","Conservative Confirming Items","Liberals",11
"62",4,1,"Easy","Liberal Confirming Items","Liberals",11
"63",4,1,"Easy","Conservative Confirming Items","Liberals",11
"64",4,1,"Easy","Liberal Confirming Items","Liberals",11
"65",4,1,"Easy","Apolitical Items","Liberals",11
"66",4,0,"Easy","Apolitical Items","Liberals",11
"67",6,0,"Easy","Conservative Confirming Items","Moderates",12
"68",6,0,"Easy","Liberal Confirming Items","Moderates",12
"69",6,1,"Easy","Conservative Confirming Items","Moderates",12
"70",6,1,"Easy","Liberal Confirming Items","Moderates",12
"71",6,1,"Easy","Apolitical Items","Moderates",12
"72",6,1,"Easy","Apolitical Items","Moderates",12
"73",0,0,"Easy","Conservative Confirming Items","Liberals",13
"74",0,1,"Easy","Liberal Confirming Items","Liberals",13
"75",0,0,"Easy","Conservative Confirming Items","Liberals",13
"76",0,0,"Easy","Liberal Confirming Items","Liberals",13
"77",0,1,"Easy","Apolitical Items","Liberals",13
"78",0,0,"Easy","Apolitical Items","Liberals",13
"79",2,1,"Easy","Conservative Confirming Items","Moderates",14
"80",2,1,"Easy","Liberal Confirming Items","Moderates",14
"81",2,1,"Easy","Conservative Confirming Items","Moderates",14
"82",2,0,"Easy","Liberal Confirming Items","Moderates",14
